Ổ cứng:,Thông tin Pin:,Số nhân:,Công suất bộ sạc:,Tản nhiệt:,Card màn hình:,"Kích thước, khối lượng:",Đèn bàn phím:,Webcam:,Tốc độ CPU:,Độ phủ màu:,Tốc độ tối đa:,Công nghệ âm thanh:,Hệ điều hành:,Tần số quét:,Hỗ trợ RAM tối đa:,Kết nối không dây:,Chất liệu:,Tốc độ Bus RAM:,Công nghệ CPU:,Số luồng:,Màn hình:,Bộ nhớ đệm:,Thời điểm ra mắt:,Loại RAM:
,Lên đến 18 giờ (Hãng công bố),8,,,Card tích hợp- 7 nhân GPU,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,Đơn sắc - Màu trắng,,Hãng không công bố,,Hãng không công bố,,,Hãng không công bố,Không hỗ trợ nâng cấp,,Vỏ kim loại nguyên khối,Hãng không công bố,Apple M1,Hãng không công bố,13.3 inch,Hãng không công bố,2020,Hãng không công bố
,,6,45 W,,Card tích hợp-Intel UHD Graphics,Dài 358.5 mm - Rộng 242 mm - Dày 17.9 mm - Nặng 1.69 kg,Không có đèn,,1.20 GHz,45% NTSC,,,,,16 GB,Bluetooth 5,Vỏ nhựa,3200 MHz,Intel Core i3 Alder Lake - 1215U,8,15.6 inch,10 MB,2023,DDR4 2 khe (1 khe 8 GB + 1 khe rời)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),,6,,,"Card rời- NVIDIA GeForce RTX 2050, 4 GB",Dài 359 mm - Rộng 256 mm - Dày 22.8 ~ 24.5 mm - Nặng 2.3 kg,Đèn chuyển màu RGB,,2.70 GHz,,,DTS software,,,32 GB,,Vỏ nhựa - nắp lưng bằng kim loại,3200 MHz,Intel Core i5 Tiger Lake-11400H,12,15.6 inch,12 MB,2023,DDR4 2 khe (1 khe 8 GB + 1 khe rời)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 1 TB),,8,90 W,,"Card rời- NVIDIA GeForce RTX 2050, 4 GB",Dài 361 mm - Rộng 237 mm - Dày 17.9 mm - Nặng 1.7 kg,Đơn sắc - Màu trắng,Full HD Webcam,2.10 GHz,,,Acer Purified Voice,,,32 GB,,Vỏ nhựa - nắp lưng bằng kim loại,3200 MHz,Intel Core i5 Raptor Lake - 13420H,12,15.6 inch,12 MB,2023,DDR4 2 khe (1 khe 8GB + 1 khe 8GB)
,,4,45 W,,Card tích hợp- AMD Radeon Graphics,Dài 360.3 mm - Rộng 232.5 mm - Dày 17.9 mm - Nặng 1.63 kg,Không có đèn,,2.80 GHz,45% NTSC,,,,,Không hỗ trợ nâng cấp,Bluetooth 5.3,Vỏ nhựa,5500 MHz,AMD Ryzen 5- 7520U,8,15.6 inch,4 MB,2023,LPDDR5 (Onboard)
"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))",,2,65 W,,Card tích hợp-Intel UHD Graphics,Dài 359.2 mm - Rộng 236.5 mm - Dày 19.9 mm - Nặng 1.65 kg,Không có đèn,,3.00 GHz,,,,,,16 GB,,Vỏ nhựa,3200 MHz,Intel Core i3 Tiger Lake-1115G4,4,15.6 inch,6 MB,2023,DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống)
,,6,45 W,,Card tích hợp-Intel UHD Graphics,Dài 359.7 mm - Rộng 232.5 mm - Dày 17.9 mm - Nặng 1.7 kg,Không có đèn,,1.20 GHz,45% NTSC,,,,,16 GB,Bluetooth 5.3,Vỏ nhựa,3200 MHz,Intel Core i3 Alder Lake - 1215U,8,15.6 inch,10 MB,2023,DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống)
,,6,45 W,,Card tích hợp-Intel UHD Graphics,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.41 kg,Không có đèn,,1.20 GHz,,,,,,16 GB,,Vỏ nhựa,3200 MHz,Intel Core i3 Alder Lake - 1215U,8,14 inch,10 MB,2022,DDR4 2 khe (1 khe 8 GB + 1 khe rời)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),,6,150 W,2 x Quạt ICP 83 cánh,"Card rời- NVIDIA GeForce RTX 2050, 4 GB",Dài 399 mm - Rộng 269 mm - Dày 23.3 ~ 24.8 mm - Nặng 2.6 kg,Đèn chuyển màu RGB - 1 vùng,,2.70 GHz,,,,,,32 GB,Bluetooth 5.3,Vỏ nhựa,3200 MHz,Intel Core i5 Tiger Lake-11400H,12,17.3 inch,12 MB,2023,DDR4 2 khe (1 khe 8GB + 1 khe 8GB)
"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (Gen 3))",,10,,,Card tích hợp-Intel Iris Xe Graphics,Dài 358.5 mm - Rộng 242 mm - Dày 17.9 mm - Nặng 1.7 kg,Không có đèn,,1.30 GHz,,,,,,32 GB,,Vỏ nhựa,3200 MHz,Intel Core i5 Alder Lake - 1235U,12,15.6 inch,12 MB,2022,DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),,6,180 W,,"Card rời-NVIDIA GeForce RTX 3050, 4 GB",Dài 359 mm - Rộng 256 mm - Dày 22.8 ~ 24.5 mm - Nặng 2.3 kg,Đèn chuyển màu RGB - 1 vùng,,2.70 GHz,,,DTS software,,,32 GB,,Vỏ nhựa,3200 MHz,Intel Core i5 Tiger Lake-11400H,12,15.6 inch,12 MB,2022,DDR4 2 khe (1 khe 8GB + 1 khe 8GB)
Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng,,4,45 W,,Card tích hợp-Intel Iris Xe Graphics,Dài 360 mm - Rộng 235 mm - Dày 19.9 mm - Nặng 1.8 kg,Không có đèn,,2.40 GHz,45% NTSC,,,,,24 GB,,Vỏ nhựa,2933 MHz,Intel Core i5 Tiger Lake-1135G7,8,15.6 inch,8 MB,2023,DDR4 2 khe (8 GB onboard+ 1 khe 8 GB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),,4,,,Card tích hợp-Intel Iris Xe Graphics,Dài 363.4 mm - Rộng 238.4 mm - Dày 19.9 mm - Nặng 1.7 kg,Không có đèn,,2.40 GHz,,,,,,12 GB,,Vỏ nhựa,Từ 2400 MHz (Hãng công bố),Intel Core i5 Tiger Lake-1135G7,8,15.6 inch,8 MB,2021,
,,6,65 W,,Card tích hợp-Intel UHD Graphics,Dài 358.5 mm - Rộng 235.6 mm - Dày 19 mm - Nặng 1.67 kg,Không có đèn,,1.20 GHz,,,Cirrus Logic High Definition Audio,Windows 11 Home SL + Office Home & Student vĩnh viễn,,16 GB,,Vỏ nhựa,3200 MHz,Intel Core i3 Alder Lake - 1215U,8,15.6 inch,10 MB,2022,DDR4 2 khe (1 khe 8 GB + 1 khe rời)
"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 512 GB)",,8,45 W,,Card tích hợp-Intel UHD Graphics,Dài 323.7 mm - Rộng 215 mm - Dày 17.9 mm - Nặng 1.41 kg,Không có đèn,,1.80 GHz,45% NTSC,,,,,16 GB,Bluetooth 5.3,Vỏ nhựa,3200 MHz,Intel Core i3 Alder Lake chuỗi N - N305,8,14 inch,6 MB,2023,
,,10,45 W,Quạt IceBlade 87 cánh,Card tích hợp-Intel Iris Xe Graphics,Dài 358.7 mm - Rộng 249.5 mm - Dày 19.9 mm - Nặng 1.88 kg,Không có đèn,,1.30 GHz,,,,,,40 GB,Bluetooth 5.3,Vỏ nhựa,3200 MHz,Intel Core i5 Raptor Lake - 1335U,12,16 inch,12 MB,2023,DDR4 2 khe (8 GB onboard+ 1 khe 8 GB)
Hỗ trợ khe cắm HDD SATA,,6,65 W,,Card tích hợp-Intel UHD Graphics,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - Nặng 1.9 kg,Không có đèn,,1.20 GHz,,,,Windows 11 Home SL + Office Home & Student vĩnh viễn,,16 GB,,Vỏ nhựa,2666 MHz,Intel Core i3 Alder Lake - 1215U,8,15.6 inch,10 MB,2022,DDR4 2 khe (1 khe 8 GB + 1 khe rời)
,,2,,,Card tích hợp-Intel UHD Graphics,Dài 358.5 mm - Rộng 242 mm - Dày 17.9 mm - Nặng 1.7 kg,Không có đèn,,3.00 GHz,,,,,,16 GB,,Vỏ nhựa,3200 MHz,Intel Core i3 Tiger Lake-1115G4,4,15.6 inch,6 MB,2022,DDR4 2 khe (1 khe 8 GB + 1 khe rời)
Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng,,2,,,Card tích hợp-Intel UHD Graphics,Dài 325.4 mm - Rộng 216 mm - Dày 19.9 mm - Nặng 1.55 kg,Không có đèn,,3.00 GHz,,,,,,16 GB,,Vỏ nhựa,3200 MHz,Intel Core i3 Tiger Lake-1115G4,4,14 inch,6 MB,2022,DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống)
,40 Wh,8,45 W,,Card tích hợp-Intel UHD Graphics,Dài 362.9 mm - Rộng 237.5 mm - Dày 18.9 mm - Nặng 1.7 kg,Không có đèn,,Hãng không công bố,,,,,,Không hỗ trợ nâng cấp,,Vỏ nhựa,4800 MHz,Intel Core i3 Alder Lake chuỗi N - N305,8,15.6 inch,6 MB,2023,LPDDR5 (Onboard)
